,size,method,run,time_seconds,gflops,cpus
73,5000,numpy,3,2.291169996308162,109.11455736712388,8
74,5000,numpy,4,2.273535915678367,109.96087560174134,8
75,5000,numpy,5,2.2734978099400176,109.9627186386407,8
76,5000,numpy,6,2.272542657488957,110.00893610342048,8
77,5000,numpy,7,2.272492492957972,110.01136451482375,8
78,5000,numpy,8,2.307511719223112,108.34181162216132,8
79,5000,numpy,9,2.3127535863686353,108.09625438416764,8
80,7500,numpy,0,7.72377148874104,109.2406735789551,8
81,7500,numpy,1,7.68985678830184,109.72245949801705,8
82,7500,numpy,2,7.681295221480541,109.8447560823434,8
83,7500,numpy,3,7.68961607599631,109.72589420085956,8
84,7500,numpy,4,7.669673877740279,110.01119649282852,8
85,7500,numpy,5,7.659077323987149,110.1634001471031,8
86,7500,numpy,6,7.698066640519537,109.6054424313292,8
87,7500,numpy,7,7.669967422662303,110.00698614533724,8
88,7500,numpy,8,7.673592429999262,109.95501881249656,8
89,7500,numpy,9,7.736969457250089,109.05432736448849,8
90,10000,numpy,0,18.199223556257785,109.89479819386592,8
91,10000,numpy,1,18.29275462582242,109.33290479809747,8
92,10000,numpy,2,18.325346195977183,109.13845657328122,8
93,10000,numpy,3,18.31067435786128,109.22590620707228,8
94,10000,numpy,4,18.305537481238133,109.25655704181628,8
95,10000,numpy,5,18.34877125287894,108.99912437930676,8
96,10000,numpy,6,18.301671550739556,109.27963571279268,8
97,10000,numpy,7,18.268489399040117,109.47812686171449,8
98,10000,numpy,8,18.286739896168,109.3688657112196,8
99,10000,numpy,9,18.29829356107861,109.2998094780871,8
0,10,gpu,0,0.0646562208421528,3.0932831736062335e-05,8
1,10,gpu,1,0.0001384257338941,0.0144481805784025,8
2,10,gpu,2,0.0001367045566439,0.0146300902405825,8
3,10,gpu,3,0.0001334581524133,0.0149859709866601,8
4,10,gpu,4,0.00013557234779,0.0147522708915385,8
5,10,gpu,5,0.0001356526277959,0.0147435404127124,8
6,10,gpu,6,0.0001311599276959,0.0152485597936263,8
7,10,gpu,7,0.00013396916911,0.0149288079733997,8
8,10,gpu,8,0.0001319395378232,0.0151584584348022,8
9,10,gpu,9,0.0001306210644543,0.0153114660974109,8
10,50,gpu,0,0.000171929039061,1.454088275984603,8
11,50,gpu,1,0.0001431427896022,1.746507810100821,8
12,50,gpu,2,0.0001407924108207,1.7756638908494609,8
13,50,gpu,3,0.0001394217833876,1.7931200844338455,8
14,50,gpu,4,0.0001390210352838,1.7982890106496363,8
15,50,gpu,5,0.0001400087960064,1.785602098803126,8
16,50,gpu,6,0.0001411469653248,1.7712035071003738,8
17,50,gpu,7,0.0001378646120429,1.8133732528997304,8
18,50,gpu,8,0.0001448078081011,1.7264262423289012,8
19,50,gpu,9,0.0001414394006133,1.767541427041919,8
20,100,gpu,0,0.0001660180278122,12.046884464028766,8
21,100,gpu,1,0.0001510156318545,13.24366209934148,8
22,100,gpu,2,0.0001600006595253,12.499948474790948,8
23,100,gpu,3,0.0001530193723738,13.070240512515571,8
24,100,gpu,4,0.0001508931629359,13.254411008990848,8
25,100,gpu,5,0.0001515085808932,13.200572457402858,8
26,100,gpu,6,0.0001483066007494,13.485576433501002,8
27,100,gpu,7,0.0001488756388425,13.43403135361017,8
28,100,gpu,8,0.0001487553119659,13.444898024602317,8
29,100,gpu,9,0.0001497812569141,13.352805559286288,8
30,250,gpu,0,0.0019759848713874,15.81489840965084,8
31,250,gpu,1,0.0002091776579618,149.3945400502576,8
32,250,gpu,2,0.0002061820589005,151.56507877858746,8
33,250,gpu,3,0.0002057769335806,151.8634739872542,8
34,250,gpu,4,0.0002022566273808,154.5066799771977,8
35,250,gpu,5,0.000204799324274,152.58839408171656,8
36,250,gpu,6,0.0002046510577201,152.6989420339452,8
37,250,gpu,7,0.0002019218169152,154.76287048819736,8
